Registros,Linear Regression,Decision Tree,Random Forest
0,0.0,0.0,0.0
1,0.0,0.0,1.0
0,-0.0,1.0,0.0
0,-0.0,0.0,0.0
2,-0.0,0.0,0.0
0,-0.0,0.0,0.0
1,-0.0,0.0,0.0
2,1.0,0.0,0.0
9,10.0,7.0,12.0
0,1.0,2.0,2.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,0.0,1.0,1.0
0,0.0,0.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,1.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,1.0,0.0,1.0
5,10.0,5.0,12.0
1,1.0,3.0,2.0
0,-0.0,1.0,0.0
0,-0.0,0.0,0.0
1,0.0,0.0,1.0
0,0.0,4.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,1.0,0.0,1.0
4,10.0,11.0,11.0
1,1.0,3.0,2.0
0,-0.0,0.0,1.0
0,-0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,2.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
2,-0.0,1.0,1.0
0,-0.0,0.0,0.0
1,-0.0,0.0,0.0
0,1.0,1.0,1.0
4,10.0,14.0,8.0
0,1.0,0.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,1.0
0,-0.0,0.0,0.0
0,-0.0,1.0,1.0
2,-0.0,1.0,1.0
0,-0.0,0.0,0.0
0,-1.0,1.0,0.0
1,1.0,1.0,2.0
3,10.0,5.0,6.0
0,1.0,2.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,0.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
1,-0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,1.0,0.0,1.0
3,9.0,2.0,6.0
0,1.0,4.0,3.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,1.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
1,1.0,0.0,1.0
3,9.0,9.0,6.0
0,1.0,5.0,3.0
1,-0.0,0.0,0.0
0,-1.0,0.0,0.0
1,0.0,2.0,1.0
1,0.0,0.0,1.0
1,-0.0,0.0,0.0
0,-0.0,0.0,0.0
2,-0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,1.0,0.0,1.0
2,9.0,7.0,6.0
0,1.0,0.0,1.0
0,-0.0,0.0,0.0
0,-1.0,0.0,0.0
1,-0.0,1.0,1.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-0.0,0.0,0.0
1,-0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
2,1.0,0.0,1.0
2,9.0,10.0,6.0
0,1.0,3.0,2.0
0,-0.0,0.0,0.0
0,-1.0,0.0,0.0
1,-0.0,3.0,1.0
1,0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-0.0,0.0,0.0
2,-0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,1.0,1.0,1.0
2,9.0,10.0,8.0
0,0.0,5.0,3.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
1,-0.0,2.0,1.0
1,0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
1,1.0,0.0,1.0
1,9.0,16.0,9.0
0,0.0,2.0,2.0
1,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,-0.0,0.0,1.0
1,0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-0.0,0.0,0.0
0,-0.0,0.0,0.0
0,-1.0,0.0,0.0
1,-1.0,1.0,0.0
2,1.0,1.0,2.0
1,9.0,11.0,10.0
2,0.0,1.0,1.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,1.0,1.0
1,0.0,1.0,0.0
0,0.0,0.0,1.0
0,0.0,1.0,1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-0.0,0.0,1.0
0,-0.0,0.0,1.0
